id,name,price,image
chicken,Chicken,1000,https://www.themealdb.com/images/ingredients/Chicken.png
salmon,Salmon,1010,https://www.themealdb.com/images/ingredients/Salmon.png
beef,Beef,1020,https://www.themealdb.com/images/ingredients/Beef.png
pork,Pork,1030,https://www.themealdb.com/images/ingredients/Pork.png
avocado,Avocado,1040,https://www.themealdb.com/images/ingredients/Avocado.png
apple cider vinegar,Apple Cider Vinegar,1050,https://www.themealdb.com/images/ingredients/Apple_Cider_Vinegar.png
asparagus,Asparagus,1060,https://www.themealdb.com/images/ingredients/Asparagus.png
aubergine,Aubergine,1070,https://www.themealdb.com/images/ingredients/Aubergine.png
baby plum tomatoes,Baby Plum Tomatoes,1080,https://www.themealdb.com/images/ingredients/Baby_Plum_Tomatoes.png
bacon,Bacon,1090,https://www.themealdb.com/images/ingredients/Bacon.png
baking powder,Baking Powder,1100,https://www.themealdb.com/images/ingredients/Baking_Powder.png
balsamic vinegar,Balsamic Vinegar,1110,https://www.themealdb.com/images/ingredients/Balsamic_Vinegar.png
basil,Basil,1120,https://www.themealdb.com/images/ingredients/Basil.png
basil leaves,Basil Leaves,1130,https://www.themealdb.com/images/ingredients/Basil_Leaves.png
basmati rice,Basmati Rice,1140,https://www.themealdb.com/images/ingredients/Basmati_Rice.png
bay leaf,Bay Leaf,1150,https://www.themealdb.com/images/ingredients/Bay_Leaf.png
bay leaves,Bay Leaves,1160,https://www.themealdb.com/images/ingredients/Bay_Leaves.png
beef brisket,Beef Brisket,1170,https://www.themealdb.com/images/ingredients/Beef_Brisket.png
beef fillet,Beef Fillet,1180,https://www.themealdb.com/images/ingredients/Beef_Fillet.png
beef gravy,Beef Gravy,1190,https://www.themealdb.com/images/ingredients/Beef_Gravy.png
beef stock,Beef Stock,1200,https://www.themealdb.com/images/ingredients/Beef_Stock.png
bicarbonate of soda,Bicarbonate Of Soda,1210,https://www.themealdb.com/images/ingredients/Bicarbonate_Of_Soda.png
biryani masala,Biryani Masala,1220,https://www.themealdb.com/images/ingredients/Biryani_Masala.png
black pepper,Black Pepper,1230,https://www.themealdb.com/images/ingredients/Black_Pepper.png
black treacle,Black Treacle,1240,https://www.themealdb.com/images/ingredients/Black_Treacle.png
borlotti beans,Borlotti Beans,1250,https://www.themealdb.com/images/ingredients/Borlotti_Beans.png
bowtie pasta,Bowtie Pasta,1260,https://www.themealdb.com/images/ingredients/Bowtie_Pasta.png
bramley apples,Bramley Apples,1270,https://www.themealdb.com/images/ingredients/Bramley_Apples.png
brandy,Brandy,1280,https://www.themealdb.com/images/ingredients/Brandy.png
bread,Bread,1290,https://www.themealdb.com/images/ingredients/Bread.png
breadcrumbs,Breadcrumbs,1300,https://www.themealdb.com/images/ingredients/Breadcrumbs.png
broccoli,Broccoli,1310,https://www.themealdb.com/images/ingredients/Broccoli.png
brown lentils,Brown Lentils,1320,https://www.themealdb.com/images/ingredients/Brown_Lentils.png
brown rice,Brown Rice,1330,https://www.themealdb.com/images/ingredients/Brown_Rice.png
brown sugar,Brown Sugar,1340,https://www.themealdb.com/images/ingredients/Brown_Sugar.png
butter,Butter,1350,https://www.themealdb.com/images/ingredients/Butter.png
cacao,Cacao,1360,https://www.themealdb.com/images/ingredients/Cacao.png
cajun,Cajun,1370,https://www.themealdb.com/images/ingredients/Cajun.png
canned tomatoes,Canned Tomatoes,1380,https://www.themealdb.com/images/ingredients/Canned_Tomatoes.png
cannellini beans,Cannellini Beans,1390,https://www.themealdb.com/images/ingredients/Cannellini_Beans.png
cardamom,Cardamom,1400,https://www.themealdb.com/images/ingredients/Cardamom.png
carrots,Carrots,1410,https://www.themealdb.com/images/ingredients/Carrots.png
cashew nuts,Cashew Nuts,1420,https://www.themealdb.com/images/ingredients/Cashew_Nuts.png
cashews,Cashews,1430,https://www.themealdb.com/images/ingredients/Cashews.png
caster sugar,Caster Sugar,1440,https://www.themealdb.com/images/ingredients/Caster_Sugar.png
cayenne pepper,Cayenne Pepper,1450,https://www.themealdb.com/images/ingredients/Cayenne_Pepper.png
celeriac,Celeriac,1460,https://www.themealdb.com/images/ingredients/Celeriac.png
celery,Celery,1470,https://www.themealdb.com/images/ingredients/Celery.png
celery salt,Celery Salt,1480,https://www.themealdb.com/images/ingredients/Celery_Salt.png
challots,Challots,1490,https://www.themealdb.com/images/ingredients/Challots.png
charlotte potatoes,Charlotte Potatoes,1500,https://www.themealdb.com/images/ingredients/Charlotte_Potatoes.png
cheddar cheese,Cheddar Cheese,1510,https://www.themealdb.com/images/ingredients/Cheddar_Cheese.png
cheese,Cheese,1520,https://www.themealdb.com/images/ingredients/Cheese.png
cheese curds,Cheese Curds,1530,https://www.themealdb.com/images/ingredients/Cheese_Curds.png
cherry tomatoes,Cherry Tomatoes,1540,https://www.themealdb.com/images/ingredients/Cherry_Tomatoes.png
chestnut mushroom,Chestnut Mushroom,1550,https://www.themealdb.com/images/ingredients/Chestnut_Mushroom.png
chicken breast,Chicken Breast,1560,https://www.themealdb.com/images/ingredients/Chicken_Breast.png
chicken breasts,Chicken Breasts,1570,https://www.themealdb.com/images/ingredients/Chicken_Breasts.png
chicken legs,Chicken Legs,1580,https://www.themealdb.com/images/ingredients/Chicken_Legs.png
chicken stock,Chicken Stock,1590,https://www.themealdb.com/images/ingredients/Chicken_Stock.png
chicken thighs,Chicken Thighs,1600,https://www.themealdb.com/images/ingredients/Chicken_Thighs.png
chickpeas,Chickpeas,1610,https://www.themealdb.com/images/ingredients/Chickpeas.png
